feature,importance
Garage_Cars,0.21585114
Bsmt_Qual_Excellent_True,0.17596014
Bsmt_Qual_Excellent_False,0.09568733
Fireplace_Qu_No_Fireplace_True,0.03522301
Overall_Qual_Very_Good_True,0.0308429
Fireplace_Qu_No_Fireplace_False,0.018397419
Gr_Liv_Area,0.017705237
Garage_Cond_Typical_True,0.016629655
Overall_Qual_Very_Excellent_False,0.015644565
Overall_Qual_Very_Good_False,0.013804893
Bsmt_Qual_Good_False,0.011057124
Year_Built,0.010842605
MS_SubClass_Two_Story_1946_and_Newer_False,0.010806905
Garage_Cond_Typical_False,0.0096530765
Roof_Matl_CompShg_True,0.009614617
Garage_Type_Attchd_True,0.0085918475
BsmtFin_Type_1_GLQ_False,0.008369791
Sale_Condition_Alloca_True,0.008286721
Overall_Qual_Excellent_True,0.00828428
Overall_Qual_Excellent_False,0.008045516
Bsmt_Qual_Typical_True,0.008038928
Overall_Qual_Good_True,0.0075573265
First_Flr_SF,0.0074378676
Overall_Qual_Average_True,0.0064317347
Neighborhood_Crawford_False,0.0063009867
MS_Zoning_Floating_Village_Residential_True,0.0062210723
Total_Bsmt_SF,0.0052348673
Garage_Qual_Typical_False,0.005168991
MS_Zoning_Residential_Medium_Density_False,0.0050597214
Overall_Qual_Below_Average_False,0.0049264333
MS_Zoning_Residential_Low_Density_True,0.0049157804
MS_SubClass_One_Story_1945_and_Older_False,0.004051754
Garage_Area,0.004038109
Garage_Cond_Good_False,0.0038776365
Year_Remod_Add,0.0038477967
Neighborhood_Somerset_True,0.003841021
Roof_Style_Hip_True,0.0036687837
Overall_Qual_Good_False,0.0035682612
Neighborhood_Veenker_False,0.0033644289
Second_Flr_SF,0.0032421118
Neighborhood_Old_Town_False,0.003241575
MS_Zoning_Residential_Low_Density_False,0.003235968
Overall_Cond_Fair_False,0.0030816728
Overall_Cond_Fair_True,0.0029323518
Neighborhood_Clear_Creek_True,0.002847527
MS_SubClass_Duplex_All_Styles_and_Ages_True,0.0028264993
Condition_1_Norm_True,0.002800544
Roof_Matl_WdShngl_True,0.0027430109
Overall_Qual_Above_Average_False,0.0025080338
Roof_Style_Gable_False,0.0024315966
Overall_Cond_Excellent_False,0.0022777386
Roof_Matl_CompShg_False,0.0022657872
Overall_Qual_Average_False,0.002232135
Garage_Type_Detchd_False,0.0022185296
Fireplace_Qu_Good_False,0.0022168818
Bedroom_AbvGr,0.0021098368
Neighborhood_Somerset_False,0.0020984209
Bsmt_Qual_No_Basement_False,0.0020688444
MS_SubClass_Duplex_All_Styles_and_Ages_False,0.002009017
Functional_Typ_False,0.001984078
BsmtFin_SF_1,0.0019808859
MS_SubClass_Two_and_Half_Story_All_Ages_False,0.001906118
Exterior_1st_BrkFace_False,0.0018593702
Sale_Condition_Abnorml_False,0.0018159756
Screen_Porch,0.0017622316
Overall_Qual_Above_Average_True,0.0017534369
Pool_Area,0.0016421409
Overall_Qual_Below_Average_True,0.001640898
MS_Zoning_C_all_True,0.0016196043
Functional_Typ_True,0.0015943913
Exterior_1st_PreCast_False,0.0015622157
Sale_Type_New_False,0.0015574183
Roof_Matl_WdShngl_False,0.0014912359
Exterior_1st_VinylSd_False,0.0013999242
Condition_1_Feedr_True,0.0013301272
Overall_Cond_Below_Average_False,0.0013124909
Overall_Cond_Good_False,0.0012877492
Sale_Condition_Normal_False,0.0012521731
Neighborhood_Clear_Creek_False,0.0012520674
Sale_Condition_Abnorml_True,0.0012338636
MS_SubClass_One_Story_PUD_1946_and_Newer_True,0.0012119251
Neighborhood_Green_Hills_False,0.0012050939
Condition_2_PosN_False,0.0011745804
Neighborhood_Stone_Brook_False,0.0011674153
Bsmt_Qual_Fair_False,0.001163802
Heating_GasA_False,0.0011554151
Fireplace_Qu_Typical_True,0.0011397236
Neighborhood_Green_Hills_True,0.0011157114
Garage_Type_Attchd_False,0.0010598074
Condition_1_Norm_False,0.0010472679
MS_SubClass_Two_Story_1946_and_Newer_True,0.001036093
Neighborhood_Gilbert_False,0.0010316545
Overall_Qual_Fair_True,0.0010101681
Exterior_1st_BrkFace_True,0.0009976644
MS_Zoning_C_all_False,0.0009936752
Longitude,0.0009803821
Overall_Cond_Above_Average_True,0.0009469536
BsmtFin_Type_2_Unf_True,0.00093341974
Lot_Area,0.0009207935
Overall_Cond_Excellent_True,0.0008996911
Electrical_SBrkr_True,0.00088544184
Neighborhood_Edwards_False,0.0008851547
Garage_Qual_Good_False,0.00088174595
Sale_Condition_Normal_True,0.0008768685
Garage_Qual_Good_True,0.0008742192
