feature,importance
Garage_Cars,0.41716996
Bsmt_Qual_Excellent,0.1474332
Overall_Qual_Very_Good,0.026802516
Overall_Qual_Very_Excellent,0.026017528
Fireplace_Qu_No_Fireplace,0.024738923
Gr_Liv_Area,0.024201209
MS_SubClass_Two_Story_1946_and_Newer,0.023203323
Overall_Qual_Excellent,0.015765615
Garage_Cond_Typical,0.015198602
BsmtFin_Type_1_GLQ,0.0140453335
Neighborhood_Crawford,0.011929617
Total_Bsmt_SF,0.009170513
First_Flr_SF,0.008712703
Year_Built,0.008489734
Garage_Qual_Typical,0.008048242
MS_Zoning_Residential_Medium_Density,0.0073762005
MS_SubClass_Duplex_All_Styles_and_Ages,0.007304447
Overall_Qual_Good,0.007162998
Bsmt_Qual_Good,0.007129377
Roof_Matl_CompShg,0.0060781995
Overall_Qual_Below_Average,0.005906727
Second_Flr_SF,0.0057616504
MS_SubClass_One_Story_1945_and_Older,0.004853628
Year_Remod_Add,0.0047544907
Garage_Type_No_Garage,0.0042647114
Exterior_1st_BrkFace,0.0040898966
Exterior_2nd_BrkFace,0.0040746983
MS_Zoning_Residential_Low_Density,0.003959376
Bsmt_Qual_No_Basement,0.0039497684
Overall_Cond_Fair,0.003853317
Neighborhood_Somerset,0.0033316521
Roof_Matl_WdShngl,0.0033232365
Foundation_CBlock,0.0031436996
Overall_Qual_Above_Average,0.0029491761
Pool_Area,0.0029093053
Sale_Condition_Abnorml,0.0028085774
Bsmt_Qual_Typical,0.0027887493
Functional_Typ,0.0027842147
Neighborhood_Bloomington_Heights,0.0027749965
Screen_Porch,0.0027655314
BsmtFin_SF_1,0.0025504762
Condition_1_Norm,0.0024442582
Garage_Qual_Good,0.002428628
Garage_Type_Detchd,0.002362343
Bedroom_AbvGr,0.0023397722
Overall_Qual_Poor,0.0021320265
Neighborhood_Green_Hills,0.002014948
Neighborhood_Gilbert,0.001931212
MS_Zoning_Floating_Village_Residential,0.0019208923
House_Style_Two_Story,0.0018453439
Overall_Cond_Good,0.0018372905
Fireplace_Qu_Good,0.0017817402
Bsmt_Qual_Fair,0.0017718417
Heating_GasA,0.001716524
Exterior_1st_VinylSd,0.0016637576
Overall_Qual_Fair,0.0016603381
Overall_Qual_Average,0.0016306065
MS_Zoning_C_all,0.0016261538
Sale_Condition_Normal,0.0016117963
Sale_Type_New,0.0016047886
Exterior_2nd_CmentBd,0.0015843449
Overall_Cond_Below_Average,0.0015408834
Neighborhood_Stone_Brook,0.0015165027
Longitude,0.0014712292
Overall_Cond_Poor,0.0014663648
Garage_Type_Attchd,0.0014439132
Neighborhood_Clear_Creek,0.001300557
Lot_Area,0.0012789413
Garage_Area,0.0012449244
Condition_1_Feedr,0.0012266892
TotRms_AbvGrd,0.0012186471
Fireplace_Qu_Excellent,0.0011650511
Neighborhood_Old_Town,0.001100807
Bsmt_Cond_Typical,0.0010964564
Exterior_1st_AsbShng,0.0010829832
Overall_Cond_Excellent,0.0010819973
Overall_Cond_Very_Good,0.0010232199
Mas_Vnr_Area,0.0009899754
Sale_Type_WD ,0.0009781469
Neighborhood_Northridge,0.00097262766
MS_SubClass_Two_Story_1945_and_Older,0.0009257324
Exterior_1st_CemntBd,0.00090438727
Neighborhood_Brookside,0.0008967117
Sale_Condition_Partial,0.0008910065
Functional_Min1,0.00088912045
Exterior_2nd_HdBoard,0.0008661262
Bsmt_Unf_SF,0.0008300326
Condition_1_PosN,0.0008186851
Neighborhood_Sawyer_West,0.0007972281
Latitude,0.0007828348
Exterior_2nd_VinylSd,0.00076992455
Overall_Cond_Average,0.00075185957
Neighborhood_Edwards,0.0007175126
House_Style_One_and_Half_Fin,0.00071690965
Exterior_2nd_Wd Sdng,0.0007071776
Open_Porch_SF,0.0007046549
Foundation_Stone,0.000666888
Roof_Style_Hip,0.00061772356
House_Style_One_Story,0.0006111141
MS_Zoning_Residential_High_Density,0.00060217344
Wood_Deck_SF,0.0005938248
Roof_Style_Gable,0.000569117
BsmtFin_Type_2_ALQ,0.0005684097
Garage_Type_Basment,0.00056698656
Overall_Cond_Very_Poor,0.000561336
Exterior_1st_Plywood,0.0005449005
BsmtFin_Type_1_ALQ,0.00053624465
Condition_1_Artery,0.00052619027
Misc_Val,0.000524884
Garage_Type_More_Than_Two_Types,0.0005237295
Overall_Cond_Above_Average,0.0005156796
Sale_Type_Oth,0.00051237084
Foundation_BrkTil,0.0005092767
Sale_Condition_Family,0.0005053328
MS_SubClass_Split_Foyer,0.00050159293
Condition_1_PosA,0.0004949541
MS_SubClass_Two_and_Half_Story_All_Ages,0.00048582704
Functional_Min2,0.00048537657
MS_SubClass_Split_or_Multilevel,0.00048135582
Bsmt_Cond_Good,0.0004805468
MS_SubClass_One_Story_1946_and_Newer_All_Styles,0.00047909614
Electrical_SBrkr,0.00047759767
Roof_Matl_Tar&Grv,0.00046820618
Roof_Style_Gambrel,0.0004539377
Sale_Condition_Alloca,0.00044528503
BsmtFin_SF_2,0.00043825578
Neighborhood_Northwest_Ames,0.00043232003
MS_SubClass_One_Story_PUD_1946_and_Newer,0.00042671442
Exterior_2nd_Plywood,0.00042652755
Exterior_1st_Wd Sdng,0.000424847
Enclosed_Porch,0.00041549484
Garage_Cond_Good,0.0004113641
Roof_Style_Flat,0.0004025699
Neighborhood_Northridge_Heights,0.000397254
Exterior_1st_AsphShn,0.00039371723
Functional_Maj2,0.00039193546
Neighborhood_North_Ames,0.0003437212
BsmtFin_Type_1_Rec,0.00033529208
Fireplace_Qu_Typical,0.00032541217
Neighborhood_Timberland,0.00032521595
Exterior_2nd_AsbShng,0.00031415327
BsmtFin_Type_2_Unf,0.00031370955
Exterior_1st_WdShing,0.00031119032
Neighborhood_Meadow_Village,0.00030995056
Lot_Frontage,0.00030827938
Exterior_1st_MetalSd,0.0003060461
Mo_Sold,0.00030449976
Foundation_PConc,0.00028689054
Functional_Maj1,0.00027664274
Overall_Qual_Very_Poor,0.00027438358
BsmtFin_Type_2_BLQ,0.00027429598
Exterior_2nd_MetalSd,0.00027181613
Exterior_2nd_Stone,0.000267022
Exterior_1st_HdBoard,0.00026355922
MS_SubClass_Two_Family_conversion_All_Styles_and_Ages,0.0002553346
MS_SubClass_One_and_Half_Story_Finished_All_Ages,0.0002533055
BsmtFin_Type_1_BLQ,0.00023293564
Foundation_Wood,0.00022826338
Neighborhood_South_and_West_of_Iowa_State_University,0.00022353248
Sale_Type_COD,0.00022290892
BsmtFin_Type_1_LwQ,0.00020652724
Garage_Type_BuiltIn,0.00020528109
House_Style_SLvl,0.00020038073
Condition_1_RRNn,0.0001858781
Garage_Type_CarPort,0.00018376087
House_Style_Two_and_Half_Unf,0.00018083915
Exterior_2nd_Wd Shng,0.00017255878
Fireplace_Qu_Fair,0.00017058138
Three_season_porch,0.00016742207
Low_Qual_Fin_SF,0.0001661097
BsmtFin_Type_2_Rec,0.00016545368
Fireplace_Qu_Poor,0.0001631267
MS_SubClass_One_Story_with_Finished_Attic_All_Ages,0.00015748905
Electrical_FuseF,0.00015433668
Bsmt_Cond_Fair,0.00015291123
Functional_Sev,0.00014788372
Neighborhood_Mitchell,0.0001447715
Condition_1_RRAn,0.00014414548
Garage_Qual_Fair,0.00014281216
Neighborhood_Iowa_DOT_and_Rail_Road,0.00014062396
BsmtFin_Type_2_LwQ,0.00013097131
Electrical_FuseA,0.00012513064
Neighborhood_Greens,0.00012498285
Neighborhood_Sawyer,0.00011898257
Garage_Cond_Fair,0.00011203719
Neighborhood_Veenker,0.000110906876
Exterior_1st_BrkComm,0.00011062268
Foundation_Slab,0.00010218061
Exterior_2nd_Stucco,9.6753305e-05
Neighborhood_College_Creek,9.596272e-05
Sale_Type_ConLI,9.019776e-05
BsmtFin_Type_2_GLQ,8.636279e-05
Exterior_2nd_ImStucc,8.493899e-05
Sale_Type_ConLD,8.195079e-05
Sale_Condition_AdjLand,8.12043e-05
Condition_2_Feedr,7.68631e-05
Functional_Mod,6.550815e-05
Garage_Qual_Excellent,6.3635365e-05
Sale_Type_ConLw,6.0707604e-05
Condition_2_Norm,5.9001355e-05
Condition_1_RRNe,5.425382e-05
Garage_Cond_Excellent,5.4139462e-05
House_Style_SFoyer,3.7639034e-05
BsmtFin_Type_1_Unf,3.1747222e-05
Exterior_1st_Stucco,2.8530214e-05
Heating_Wall,2.7927588e-05
Sale_Type_CWD,2.4861105e-05
Condition_2_Artery,2.4705298e-05
Roof_Style_Mansard,2.2586426e-05
Condition_1_RRAe,2.2397464e-05
House_Style_One_and_Half_Unf,2.2083861e-05
Neighborhood_Briardale,2.0032468e-05
Exterior_2nd_Brk Cmn,1.6455135e-05
Exterior_2nd_AsphShn,1.118579e-05
Garage_Cond_Poor,1.0309139e-05
MS_SubClass_Two_Story_PUD_1946_and_Newer,5.4275106e-06
Sale_Type_VWD,0.0
Sale_Type_Con,0.0
Exterior_1st_PreCast,0.0
Exterior_1st_ImStucc,0.0
Exterior_1st_CBlock,0.0
Bsmt_Qual_Poor,0.0
Exterior_2nd_PreCast,0.0
Bsmt_Cond_No_Basement,0.0
Bsmt_Cond_Poor,0.0
BsmtFin_Type_1_No_Basement,0.0
Roof_Matl_WdShake,0.0
Exterior_2nd_CBlock,0.0
Exterior_2nd_Other,0.0
Bsmt_Cond_Excellent,0.0
Roof_Matl_Metal,0.0
Roof_Matl_Membran,0.0
Roof_Matl_ClyTile,0.0
Roof_Style_Shed,0.0
Electrical_Unknown,0.0
Electrical_Mix,0.0
Electrical_FuseP,0.0
Heating_OthW,0.0
Exterior_1st_Stone,0.0
Heating_Grav,0.0
Heating_GasW,0.0
Heating_Floor,0.0
BsmtFin_Type_2_No_Basement,0.0
Condition_2_RRAn,0.0
Condition_2_PosN,0.0
Condition_2_RRAe,0.0
Functional_Sal,0.0
House_Style_Two_and_Half_Fin,0.0
Condition_2_RRNn,0.0
Roof_Matl_Roll,0.0
Condition_2_PosA,0.0
MS_Zoning_A_agr,0.0
Neighborhood_Northpark_Villa,0.0
Neighborhood_Landmark,0.0
MS_SubClass_One_and_Half_Story_PUD_All_Ages,0.0
Neighborhood_Blueste,0.0
MS_Zoning_I_all,0.0
MS_SubClass_One_and_Half_Story_Unfinished_All_Ages,0.0
Garage_Qual_No_Garage,0.0
MS_SubClass_PUD_Multilevel_Split_Level_Foyer,0.0
Garage_Qual_Poor,0.0
Garage_Cond_No_Garage,0.0
