MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Half_Bath,Kitchen_AbvGr,Kitchen_Qual,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude,Log_SalePrice
Residential_Low_Density,141,31770,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Average,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,Typical,Typical,CBlock,Typical,Good,Gd,BLQ,2,Unf,0,441,1080,GasA,Fair,Y,SBrkr,0,1656,1,0,0,1,Typical,Typ,2,Good,Attchd,Fin,2,Typical,Typical,Partial_Pavement,210,62,0,0,0,0,No_Pool,No_Fence,Shed,0,5,2010,WD ,Normal,215000,-93.619754,42.054035,12.278397958261774
Residential_High_Density,80,11622,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Average,Above_Average,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,LwQ,144,270,882,GasA,Typical,Y,SBrkr,0,896,0,0,0,1,Typical,Typ,0,No_Fireplace,Attchd,Unf,1,Typical,Typical,Paved,140,0,0,0,120,0,No_Pool,Minimum_Privacy,Shed,0,6,2010,WD ,Normal,105000,-93.619756,42.053014,11.561725152903833
Residential_Low_Density,81,14267,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,406,1329,GasA,Typical,Y,SBrkr,0,1329,0,0,1,1,Good,Typ,0,No_Fireplace,Attchd,Unf,1,Typical,Typical,Paved,393,36,0,0,0,0,No_Pool,No_Fence,Gar2,12500,6,2010,WD ,Normal,172000,-93.619387,42.052659,12.055255569732177
Residential_Low_Density,93,11160,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,Average,1968,Hip,CompShg,BrkFace,BrkFace,BrkFace,0,Good,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,1045,2110,GasA,Excellent,Y,SBrkr,0,2110,1,0,1,1,Excellent,Typ,2,Typical,Attchd,Fin,2,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,WD ,Normal,244000,-93.61732,42.051245,12.404927602627597
Residential_Low_Density,74,13830,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,Average,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,137,928,GasA,Good,Y,SBrkr,0,1629,0,0,1,1,Typical,Typ,1,Typical,Attchd,Fin,2,Typical,Typical,Paved,212,34,0,0,0,0,No_Pool,Minimum_Privacy,Shed,0,3,2010,WD ,Normal,189900,-93.638933,42.060899,12.15425816271595
Residential_Low_Density,78,9978,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Above_Average,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,Typical,Typical,PConc,Typical,Typical,No,GLQ,3,Unf,0,324,926,GasA,Excellent,Y,SBrkr,0,1604,0,0,1,1,Good,Typ,1,Good,Attchd,Fin,2,Typical,Typical,Paved,360,36,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,195500,-93.638925,42.060779,12.18332077348399
Residential_Low_Density,41,4920,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2001,Gable,CompShg,CemntBd,CmentBd,BrkFace,0,Good,Typical,PConc,Good,Typical,Mn,GLQ,3,Unf,0,722,1338,GasA,Excellent,Y,SBrkr,0,1338,1,0,0,1,Good,Typ,0,No_Fireplace,Attchd,Fin,2,Typical,Typical,Paved,0,0,170,0,0,0,No_Pool,No_Fence,Shed,0,4,2010,WD ,Normal,213500,-93.633792,42.062978,12.271396795480596
Residential_Low_Density,43,5005,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,Good,Typical,PConc,Good,Typical,No,ALQ,1,Unf,0,1017,1280,GasA,Excellent,Y,SBrkr,0,1280,0,0,0,1,Good,Typ,0,No_Fireplace,Attchd,RFn,2,Typical,Typical,Paved,0,82,0,0,144,0,No_Pool,No_Fence,Shed,0,1,2010,WD ,Normal,191500,-93.633826,42.060728,12.162648309521318
Residential_Low_Density,39,5389,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1995,Gable,CompShg,CemntBd,CmentBd,BrkFace,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,415,1595,GasA,Excellent,Y,SBrkr,0,1616,1,0,0,1,Good,Typ,1,Typical,Attchd,RFn,2,Typical,Typical,Paved,237,152,0,0,0,0,No_Pool,No_Fence,Shed,0,3,2010,WD ,Normal,236500,-93.632852,42.06112,12.373707715234994
Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Good,Average,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Typical,Typical,PConc,Typical,Typical,No,Unf,7,Unf,0,994,994,GasA,Good,Y,SBrkr,0,1804,0,0,1,1,Good,Typ,1,Typical,Attchd,Fin,2,Typical,Typical,Paved,140,60,0,0,0,0,No_Pool,No_Fence,Shed,0,6,2010,WD ,Normal,189000,-93.639068,42.059193,12.149507585033072
